step,retain_classes,unlearn_classes,LA,UA,FM,KL-D,MIA,RTE
Pretrained,0-49,,0.5636623748211731,,,1.0835573799449827,,
Step1,10-59,0-9,0.5077639751552795,0.0,-0.055898399665893606,1.551244130045731,0.07459751238615757,
Step2,20-69,10-19,0.4672897196261682,0.0,-0.04047425552911127,1.9225691285831534,0.07409864284907101,
Step3,30-79,20-29,0.4623493975903614,0.0,-0.004940322035806799,1.844005814517837,0.09104278253645562,
Step4,40-89,30-39,0.4780701754385965,0.0,0.015720777848235057,1.7897456542790284,0.08140485984503114,
Step5,50-99,40-49,0.48345323741007196,0.0,0.005383061971475478,1.5544607478080037,0.03238606566204114,
